Name,Type,Cat.,Power,Acc.,PP,Effect,Prob. (%)
Aqua Tail,Water,Physical,90,90,10,,Null
Arm Thrust,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.,Null
Armor Cannon,Fire,Special,120,100,5,Lowers user's Defense and Special Defense.,Null
Aromatherapy,Grass,Status,Null,Null,5,Cures all status problems in your party.,Null
Aromatic Mist,Fairy,Status,Null,Null,20,Raises Special Defense of an ally.,Null
Assist,Normal,Status,Null,Null,20,User performs a move known by its allies at random.,Null
Assurance,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,Null
Astonish,Ghost,Physical,30,100,15,May cause flinching.,30
Astral Barrage,Ghost,Special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,Null
Attack Order,Bug,Physical,90,100,15,High critical hit ratio.,Null
Attract,Normal,Status,Null,100,15,"If opponent is the opposite gender, it's less likely to attack.",Null
Aura Sphere,Fighting,Special,80,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Aura Wheel,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.,100
Aurora Beam,Ice,Special,65,100,20,May lower opponent's Attack.,10
Aurora Veil,Ice,Status,Null,Null,20,Halves damage from Physical and Special attacks for five turns.,Null
Autotomize,Steel,Status,Null,Null,15,Reduces weight and sharply raises Speed.,Null
Avalanche,Ice,Physical,60,100,10,Power doubles if user took damage first.,Null
Axe Kick,Fighting,Physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.",Null
Baby-Doll Eyes,Fairy,Status,Null,100,30,Always goes first. Lowers the target's attack.,Null
Baddy Bad,Dark,Special,90,100,15,Reduces damage from Physical attacks.,Null
Baneful Bunker,Poison,Status,Null,Null,10,Protects the user and poisons opponent on contact.,Null
Barb Barrage,Poison,Physical,60,100,10,May poison opponent; inflicts double damage if the target is already poisoned.,Null
Barrage,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,Null
Barrier,Psychic,Status,Null,Null,20,Sharply raises user's Defense.,Null
Baton Pass,Normal,Status,Null,Null,40,User switches out and gives stat changes to the incoming Pokémon.,Null
Beak Blast,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",Null
Beat Up,Dark,Physical,Null,100,10,Each Pokémon in user's party attacks.,Null
Behemoth Bash,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,Null
Behemoth Blade,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,Null
Belch,Poison,Special,120,90,10,User must have consumed a Berry.,Null
Belly Drum,Normal,Status,Null,Null,10,"User loses 50% of its max HP, but Attack raises to maximum.",Null
Bestow,Normal,Status,Null,Null,15,Gives the user's held item to the target.,Null
Bide,Normal,Physical,Null,Null,10,User takes damage for two turns then strikes back double.,Null
Bind,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.",100
Bite,Dark,Physical,60,100,25,May cause flinching.,30
Bitter Blade,Fire,Physical,90,100,10,User recovers half the HP inflicted on opponent.,Null
Bitter Malice,Ghost,Special,75,100,10,Lowers opponent's Attack.,Null
Black Hole Eclipse,Dark,Null,Null,Null,1,Dark type Z-Move.,Null
Blast Burn,Fire,Special,150,90,5,User must recharge next turn.,Null
Blaze Kick,Fire,Physical,85,90,10,High critical hit ratio. May burn opponent.,10
Blazing Torque,Fire,Physical,80,100,10,May burn the opponent.,Null
Bleakwind Storm,Flying,Special,100,80,10,May lower opponent's Speed.,Null
Blizzard,Ice,Special,110,70,5,May freeze opponent.,10
Block,Normal,Status,Null,Null,5,Opponent cannot flee or switch.,Null
Blood Moon,Normal,Special,140,100,5,Cannot be used twice in a row.,Null
Bloom Doom,Grass,Null,Null,Null,1,Grass type Z-Move.,Null
Blue Flare,Fire,Special,130,85,5,May burn opponent.,20
Body Press,Fighting,Physical,80,100,10,"The higher the user's Defense, the stronger the attack.",Null
Body Slam,Normal,Physical,85,100,15,May paralyze opponent.,30
Bolt Beak,Electric,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",Null
Bolt Strike,Electric,Physical,130,85,5,May paralyze opponent.,20
Bone Club,Ground,Physical,65,85,20,May cause flinching.,10
Bone Rush,Ground,Physical,25,90,10,Hits 2-5 times in one turn.,Null
Bonemerang,Ground,Physical,50,90,10,Hits twice in one turn.,Null
Boomburst,Normal,Special,140,100,10,Hits all adjacent Pokémon.,Null
Bounce,Flying,Physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent.",30
Bouncy Bubble,Water,Special,90,100,15,User recovers half the HP inflicted on opponent.,Null
Branch Poke,Grass,Physical,40,100,40,,Null
Brave Bird,Flying,Physical,120,100,15,User receives recoil damage.,Null
Breaking Swipe,Dragon,Physical,60,100,15,Hits multiple opponents and lowers their attack.,100
Breakneck Blitz,Normal,Null,Null,Null,1,Normal type Z-Move.,Null
Brick Break,Fighting,Physical,75,100,15,Breaks through Reflect and Light Screen barriers.,Null
Brine,Water,Special,65,100,10,Power doubles if opponent's HP is less than 50%.,Null
Brutal Swing,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,Null
Bubble,Water,Special,40,100,30,May lower opponent's Speed.,10
Bubble Beam,Water,Special,65,100,20,May lower opponent's Speed.,10
Bug Bite,Bug,Physical,60,100,20,Receives the effect from the opponent's held berry.,Null
Bug Buzz,Bug,Special,90,100,10,May lower opponent's Special Defense.,10
Bulk Up,Fighting,Status,Null,Null,20,Raises user's Attack and Defense.,Null
Bulldoze,Ground,Physical,60,100,20,Lowers opponent's Speed.,100
Bullet Punch,Steel,Physical,40,100,30,User attacks first.,Null
Bullet Seed,Grass,Physical,25,100,30,Hits 2-5 times in one turn.,Null
Burn Up,Fire,Special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",Null
Burning Bulwark,Fire,Status,Null,Infinite,10,,Null
Burning Jealousy,Fire,Special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted.",Null
Buzzy Buzz,Electric,Special,90,100,15,Paralyzes the opponent.,100
Calm Mind,Psychic,Status,Null,Null,20,Raises user's Special Attack and Special Defense.,Null
Camouflage,Normal,Status,Null,Null,20,Changes user's type according to the location.,Null
Captivate,Normal,Status,Null,100,20,Sharply lowers opponent's Special Attack if opposite gender.,Null
Catastropika,Electric,Physical,210,Null,1,Pikachu-exclusive Z-Move.,Null
Ceaseless Edge,Dark,Physical,65,90,15,Sets up Spikes.,Null
Celebrate,Normal,Status,Null,Null,40,The Pokémon congratulates you on your special day. No battle effect.,Null
Charge,Electric,Status,Null,Null,20,Raises user's Special Defense and next Electric move's power increases.,Null
Charge Beam,Electric,Special,50,90,10,May raise user's Special Attack.,70
Charm,Fairy,Status,Null,100,20,Sharply lowers opponent's Attack.,Null
Chatter,Flying,Special,65,100,20,Confuses opponent.,100
Chilling Water,Water,Special,50,100,20,Lowers opponent's Attack.,Null
Chilly Reception,Ice,Status,Null,Null,10,Switches out and summons a snowstorm lasting 5 turns.,Null
Chip Away,Normal,Physical,70,100,20,Ignores opponent's stat changes.,Null
Chloroblast,Grass,Special,150,95,5,User receives recoil damage.,Null
Circle Throw,Fighting,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",Null
Clamp,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Clanging Scales,Dragon,Special,110,100,5,Lowers user's Defense.,100
Clangorous Soul,Dragon,Status,Null,100,5,Raises all user's stats but loses HP.,100
Clangorous Soulblaze,Dragon,Special,185,Null,1,Kommo-o exclusive Z-Move.,Null
Clear Smog,Poison,Special,50,Null,15,Removes all of the target's stat changes.,Null
Close Combat,Fighting,Physical,120,100,5,Lowers user's Defense and Special Defense.,100
Coaching,Fighting,Status,Null,Null,10,Boosts Attack and Defense of a teammate.,Null
Coil,Poison,Status,Null,Null,20,"Raises user's Attack, Defense and Accuracy.",Null
Collision Course,Fighting,Physical,100,100,5,Boosted even more if it's super-effective.,Null
Combat Torque,Fighting,Physical,100,100,10,May paralyze the opponent.,Null
Comet Punch,Normal,Physical,18,85,15,Hits 2-5 times in one turn.,Null
Comeuppance,Dark,Physical,Null,100,10,Deals more damage to the opponent that last inflicted damage on it.,Null
Confide,Normal,Status,Null,Null,20,Lowers opponent's Special Attack.,100
Confuse Ray,Ghost,Status,Null,100,10,Confuses opponent.,Null
Confusion,Psychic,Special,50,100,25,May confuse opponent.,10
Constrict,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.,10
Continental Crush,Rock,Null,Null,Null,1,Rock type Z-Move.,Null
Conversion,Normal,Status,Null,Null,30,Changes user's type to that of its first move.,Null
Conversion 2,Normal,Status,Null,Null,30,User changes type to become resistant to opponent's last move.,Null
Copycat,Normal,Status,Null,Null,20,Copies opponent's last move.,Null
Core Enforcer,Dragon,Special,100,100,10,Suppresses the target's ability if the target has already moved.,Null
Corkscrew Crash,Steel,Null,Null,Null,1,Steel type Z-Move.,Null
Corrosive Gas,Poison,Status,Null,100,40,Removes opponent's items.,Null
Cosmic Power,Psychic,Status,Null,Null,20,Raises user's Defense and Special Defense.,Null
Cotton Guard,Grass,Status,Null,Null,10,Drastically raises user's Defense.,Null
Cotton Spore,Grass,Status,Null,100,40,Sharply lowers opponent's Speed.,Null
Counter,Fighting,Physical,Null,100,20,"When hit by a Physical Attack, user strikes back with 2x power.",Null
Court Change,Normal,Status,Null,100,10,Swaps the effects on either side of the field.,Null
Covet,Normal,Physical,60,100,25,Opponent's item is stolen by the user.,Null
Crabhammer,Water,Physical,100,90,10,High critical hit ratio.,Null
Crafty Shield,Fairy,Status,Null,Null,10,Protects the Pokémon from status moves.,Null
Cross Chop,Fighting,Physical,100,80,5,High critical hit ratio.,Null
Cross Poison,Poison,Physical,70,100,20,High critical hit ratio. May poison opponent.,10
Crunch,Dark,Physical,80,100,15,May lower opponent's Defense.,20
Crush Claw,Normal,Physical,75,95,10,May lower opponent's Defense.,50
Crush Grip,Normal,Physical,Null,100,5,More powerful when opponent has higher HP.,Null
Curse,Ghost,Status,Null,Null,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",Null
Cut,Normal,Physical,50,95,30,,Null
Dark Pulse,Dark,Special,80,100,15,May cause flinching.,20
Dark Void,Dark,Status,Null,50,10,Puts all adjacent opponents to sleep.,Null
Darkest Lariat,Dark,Physical,85,100,10,Ignores opponent's stat changes.,Null
Dazzling Gleam,Fairy,Special,80,100,10,Hits all adjacent opponents.,Null
Decorate,Fairy,Status,Null,Null,15,Sharply raises target's Attack and Special Attack.,100
Defend Order,Bug,Status,Null,Null,10,Raises user's Defense and Special Defense.,Null
Defense Curl,Normal,Status,Null,Null,40,Raises user's Defense.,Null
Defog,Flying,Status,Null,Null,15,Lowers opponent's Evasiveness and clears fog.,Null
Destiny Bond,Ghost,Status,Null,Null,5,"If the user faints, the opponent also faints.",Null
Detect,Fighting,Status,Null,Null,5,"Protects the user, but may fail if used consecutively.",Null
Devastating Drake,Dragon,Null,Null,Null,1,Dragon type Z-Move.,Null
Diamond Storm,Rock,Physical,100,95,5,May sharply raise user's Defense.,50
Dig,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.",Null
Dire Claw,Poison,Physical,80,100,15,"May poison, paralyze or put the opponent to sleep.",Null
Disable,Normal,Status,Null,100,20,Opponent can't use its last attack for a few turns.,Null
Disarming Voice,Fairy,Special,40,Infinite,15,Ignores Accuracy and Evasiveness.,Null
Discharge,Electric,Special,80,100,15,May paralyze opponent.,30
Dive,Water,Physical,80,100,10,"Dives underwater on first turn, attacks on second turn.",Null
Dizzy Punch,Normal,Physical,70,100,10,May confuse opponent.,20
Doodle,Normal,Status,Null,100,10,Changes the abilities of the user and its teammates to that of the target.,Null
Doom Desire,Steel,Special,140,100,5,Damage occurs 2 turns later.,Null
Double Hit,Normal,Physical,35,90,10,Hits twice in one turn.,Null
Double Iron Bash,Steel,Physical,60,100,5,Hits twice in one turn; may cause flinching.,30
Double Kick,Fighting,Physical,30,100,30,Hits twice in one turn.,Null
Double Shock,Electric,Physical,120,100,5,"After using this move, the user will no longer be Electric type.",Null
Double Slap,Normal,Physical,15,85,10,Hits 2-5 times in one turn.,Null
Double Team,Normal,Status,Null,Null,15,Raises user's Evasiveness.,Null
Double-Edge,Normal,Physical,120,100,15,User receives recoil damage.,Null
Draco Meteor,Dragon,Special,130,90,5,Sharply lowers user's Special Attack.,100
Dragon Ascent,Flying,Physical,120,100,5,Lowers user's Defense and Special Defense.,100
Dragon Breath,Dragon,Special,60,100,20,May paralyze opponent.,30
Dragon Cheer,Dragon,Status,Null,Infinite,15,,Null
Dragon Claw,Dragon,Physical,80,100,15,,Null
Dragon Dance,Dragon,Status,Null,Null,20,Raises user's Attack and Speed.,Null
Dragon Darts,Dragon,Physical,50,100,10,User attacks twice.,Null
Dragon Energy,Dragon,Special,150,100,5,"The higher the user's HP, the higher the power.",Null
Dragon Hammer,Dragon,Physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.,Null
Dragon Pulse,Dragon,Special,85,100,10,,Null
Dragon Rage,Dragon,Special,Null,100,10,Always inflicts 40 HP.,Null
Dragon Rush,Dragon,Physical,100,75,10,May cause flinching.,20
Dragon Tail,Dragon,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",Null
Drain Punch,Fighting,Physical,75,100,10,User recovers half the HP inflicted on opponent.,Null
Draining Kiss,Fairy,Special,50,100,10,User recovers most the HP inflicted on opponent.,Null
Dream Eater,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,Null
Drill Peck,Flying,Physical,80,100,20,,Null
Drill Run,Ground,Physical,80,95,10,High critical hit ratio.,Null
Drum Beating,Grass,Physical,80,100,10,Lowers opponent's Speed.,100
Dual Chop,Dragon,Physical,40,90,15,Hits twice in one turn.,Null
Dual Wingbeat,Flying,Physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.,Null
Dynamax Cannon,Dragon,Special,100,100,5,Damage doubles if opponent is Dynamaxed.,Null
Dynamic Punch,Fighting,Physical,100,50,5,Confuses opponent.,100
Earth Power,Ground,Special,90,100,10,May lower opponent's Special Defense.,10
Earthquake,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.,Null
Echoed Voice,Normal,Special,40,100,15,Power increases each turn.,Null
Eerie Impulse,Electric,Status,Null,100,15,Sharply lowers opponent's Special Attack.,Null
Eerie Spell,Psychic,Special,80,100,5,Deals damage and reduces opponent's PP.,Null
Egg Bomb,Normal,Physical,100,75,10,,Null
Electric Terrain,Electric,Status,Null,Null,10,Prevents all Pokémon from falling asleep for 5 turns.,Null
Electrify,Electric,Status,Null,Null,20,Changes the target's move to Electric type.,Null
Electro Ball,Electric,Special,Null,100,10,"The faster the user, the stronger the attack.",Null
Electro Drift,Electric,Special,100,100,5,Boosted even more if it's super-effective.,Null
Electro Shot,Electric,Special,130,100,10,"Charges on first turn, attacks on second.",Null
Electroweb,Electric,Special,55,95,15,Lowers opponent's Speed.,100
Embargo,Dark,Status,Null,100,15,Opponent cannot use items.,Null
Ember,Fire,Special,40,100,25,May burn opponent.,10
Encore,Normal,Status,Null,100,5,Forces opponent to keep using its last move for 3 turns.,Null
Endeavor,Normal,Physical,Null,100,5,Reduces opponent's HP to same as user's.,Null
Endure,Normal,Status,Null,Null,10,"Always left with at least 1 HP, but may fail if used consecutively.",Null
Energy Ball,Grass,Special,90,100,10,May lower opponent's Special Defense.,10
Entrainment,Normal,Status,Null,100,15,Makes target's ability same as user's.,Null
Eruption,Fire,Special,150,100,5,Stronger when the user's HP is higher.,Null
Esper Wing,Psychic,Special,80,100,10,High critical hit ratio. Raises user's Speed.,Null
Eternabeam,Dragon,Special,160,90,5,User can't move on the next turn.,Null
Expanding Force,Psychic,Special,80,100,10,Increases power and hits all opponents on Psychic Terrain.,Null
Explosion,Normal,Physical,250,100,5,User faints.,Null
Extrasensory,Psychic,Special,80,100,20,May cause flinching.,10
Extreme Evoboost,Normal,Status,Null,Null,1,Eevee-exclusive Z-Move. Sharply raises all stats.,100
Extreme Speed,Normal,Physical,80,100,5,User attacks first.,Null
Facade,Normal,Physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed.",Null
Fairy Lock,Fairy,Status,Null,Null,10,Prevents fleeing in the next turn.,Null
Fairy Wind,Fairy,Special,40,100,30,,Null
Fake Out,Normal,Physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,Dark,Status,Null,100,20,Sharply lowers opponent's Special Defense.,Null
False Surrender,Dark,Physical,80,Infinite,10,Ignores Accuracy and Evasiveness.,Null
False Swipe,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,Null
Feather Dance,Flying,Status,Null,100,15,Sharply lowers opponent's Attack.,Null
Feint,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.,Null
Feint Attack,Dark,Physical,60,Infinite,20,Ignores Accuracy and Evasiveness.,Null
Fell Stinger,Bug,Physical,50,100,25,Drastically raises user's Attack if target is KO'd.,Null
Fickle Beam,Dragon,Special,80,100,5,May deal double damage.,Null
Fiery Dance,Fire,Special,80,100,10,May raise user's Special Attack.,50
Fiery Wrath,Dark,Special,90,100,10,May cause flinching.,20
Fillet Away,Normal,Status,Null,Null,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.",Null
Final Gambit,Fighting,Special,Null,100,5,Inflicts damage equal to the user's remaining HP. User faints.,Null
Fire Blast,Fire,Special,110,85,5,May burn opponent.,10
Fire Fang,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.,10
Fire Lash,Fire,Physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
Fire Pledge,Fire,Special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.,Null
Fire Punch,Fire,Physical,75,100,15,May burn opponent.,10
Fire Spin,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
First Impression,Bug,Physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle.",Null
Fishious Rend,Water,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",Null
Fissure,Ground,Physical,Null,30,5,"One-Hit-KO, if it hits.",Null
Flail,Normal,Physical,Null,100,15,"The lower the user's HP, the higher the power.",Null
Flame Burst,Fire,Special,70,100,15,May also injure nearby Pokémon.,Null
Flame Charge,Fire,Physical,50,100,20,Raises user's Speed.,100
Flame Wheel,Fire,Physical,60,100,25,May burn opponent.,10
Flamethrower,Fire,Special,90,100,15,May burn opponent.,10
Flare Blitz,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.,10
Flash,Normal,Status,Null,100,20,Lowers opponent's Accuracy.,Null
Flash Cannon,Steel,Special,80,100,10,May lower opponent's Special Defense.,10
Flatter,Dark,Status,Null,100,15,"Confuses opponent, but raises its Special Attack.",Null
Fleur Cannon,Fairy,Special,130,90,5,Sharply lowers user's Special Attack.,100
Fling,Dark,Physical,Null,100,10,Power depends on held item.,Null
Flip Turn,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",Null
Floaty Fall,Flying,Physical,90,95,15,May cause flinching.,30
Floral Healing,Fairy,Status,Null,Null,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,Null
Flower Shield,Fairy,Status,Null,Null,10,Sharply raises Defense of all Grass-type Pokémon on the field.,100
Flower Trick,Grass,Physical,70,Infinite,10,Never misses; always results in a critical hit.,Null
Fly,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn.",Null
Flying Press,Fighting,Physical,100,95,10,Deals Fighting and Flying type damage.,Null
Focus Blast,Fighting,Special,120,70,5,May lower opponent's Special Defense.,10
Focus Energy,Normal,Status,Null,Null,30,Increases critical hit ratio.,Null
Focus Punch,Fighting,Physical,150,100,20,"If the user is hit before attacking, it flinches instead.",Null
Follow Me,Normal,Status,Null,Null,20,"In Double Battle, the user takes all the attacks.",Null
Force Palm,Fighting,Physical,60,100,10,May paralyze opponent.,30
Foresight,Normal,Status,Null,Null,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",Null
Forest's Curse,Grass,Status,Null,100,20,Adds Grass type to opponent.,Null
Foul Play,Dark,Physical,95,100,15,Uses the opponent's Attack stat.,Null
Freeze Shock,Ice,Physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,Ice,Special,70,100,20,May freeze opponent. Super-effective against Water types.,10
Freezing Glare,Psychic,Special,90,100,10,May freeze opponent.,10
Freezy Frost,Ice,Special,90,100,15,Resets all stat changes.,Null
Frenzy Plant,Grass,Special,150,90,5,User must recharge next turn.,Null
Frost Breath,Ice,Special,60,90,10,Always results in a critical hit.,100
Frustration,Normal,Physical,Null,100,20,Power decreases with higher Friendship.,Null
Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,Null
Fury Cutter,Bug,Physical,40,95,20,Power increases each turn.,Null
Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.,Null
Fusion Bolt,Electric,Physical,100,100,5,Power increases if Fusion Flare is used in the same turn.,Null
Fusion Flare,Fire,Special,100,100,5,Power increases if Fusion Bolt is used in the same turn.,Null
Future Sight,Psychic,Special,120,100,10,Damage occurs 2 turns later.,Null
G-Max Befuddle,Bug,Null,Null,Infinite,5,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100
G-Max Cannonade,Water,Null,Null,Infinite,10,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,Null
G-Max Centiferno,Fire,Null,Null,Infinite,5,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Chi Strike,Fighting,Null,Null,Infinite,5,Machamp-exclusive G-Max Move. Increases critical hit ratio.,Null
G-Max Cuddle,Normal,Null,Null,Infinite,5,Eevee-exclusive G-Max Move. Infatuates opponents.,100
G-Max Depletion,Dragon,Null,Null,Infinite,5,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,Null
G-Max Drum Solo,Grass,Null,160,Infinite,5,Rillaboom-exclusive G-Max Move. Ignores target's ability.,Null
G-Max Finale,Fairy,Null,Null,Infinite,5,Alcremie-exclusive G-Max Move. Heals the user's team.,Null
G-Max Fireball,Fire,Null,160,Infinite,5,Cinderace-exclusive G-Max Move. Ignores target's ability.,Null
G-Max Foam Burst,Water,Null,Null,Infinite,5,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100
G-Max Gold Rush,Normal,Null,Null,Infinite,5,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100
G-Max Gravitas,Psychic,Null,Null,Infinite,5,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,Null
G-Max Hydrosnipe,Water,Null,160,Infinite,5,Inteleon-exclusive G-Max Move. Ignores target's ability.,Null
G-Max Malodor,Poison,Null,Null,Infinite,5,Garbodor-exclusive G-Max Move. Poisons opponents.,100
G-Max Meltdown,Steel,Null,Null,Infinite,5,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,Null
G-Max One Blow,Dark,Null,Null,Infinite,5,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,Null
G-Max Rapid Flow,Water,Null,Null,Infinite,5,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,Null
G-Max Replenish,Normal,Null,Null,Infinite,5,Snorlax-exclusive G-Max Move. Recycles Berries.,Null
G-Max Resonance,Ice,Null,Null,Infinite,5,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,Null
G-Max Sandblast,Ground,Null,Null,Infinite,5,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100
G-Max Smite,Fairy,Null,Null,Infinite,5,Hatterene-exclusive G-Max Move. Confuses opponents.,100
G-Max Snooze,Dark,Null,Null,Infinite,5,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,Null
G-Max Steelsurge,Steel,Null,Null,Infinite,5,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,Null
G-Max Stonesurge,Water,Null,Null,Infinite,5,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,Null
G-Max Stun Shock,Electric,Null,Null,Infinite,10,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100
G-Max Sweetness,Grass,Null,Null,Infinite,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,Null
G-Max Tartness,Grass,Null,Null,Infinite,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100
G-Max Terror,Ghost,Null,Null,Infinite,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,Null
G-Max Vine Lash,Grass,Null,Null,Infinite,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,Null
G-Max Volcalith,Rock,Null,Null,Infinite,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100
G-Max Volt Crash,Electric,Null,Null,Infinite,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100
G-Max Wildfire,Fire,Null,Null,Infinite,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
G-Max Wind Rage,Flying,Null,Null,Infinite,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,Null
Gastro Acid,Poison,Status,Null,100,10,Cancels out the effect of the opponent's Ability.,Null
Gear Grind,Steel,Physical,50,85,15,Hits twice in one turn.,Null
Gear Up,Steel,Status,Null,Null,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,Null
Genesis Supernova,Psychic,Special,185,Null,1,Mew-exclusive Z-Move.,Null
