Name,Type,Cat.,Power,Acc.,PP,Effect
Magnitude,Ground,Physical,null,100,30,Hits with random power.
Mean Look,Normal,Status,null,null,5,Opponent cannot flee or switch.
Megahorn,Bug,Physical,120,85,10,-
Metal Claw,Steel,Physical,50,95,35,May raise user's Attack.
Milk Drink,Normal,Status,null,null,5,User recovers half its max HP.
Mind Reader,Normal,Status,null,null,5,User's next attack is guaranteed to hit.
Mirror Coat,Psychic,Special,null,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Moonlight,Fairy,Status,null,null,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,Status,null,null,5,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,Special,20,100,10,Lowers opponent's Accuracy.
Nightmare,Ghost,Status,null,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,Special,65,85,10,May lower opponent's Accuracy.
Outrage,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,Status,null,null,20,The user's and opponent's HP becomes the average of both.
Perish Song,Normal,Status,null,null,5,Any Pokémon in play when this attack is used faints in 3 turns.
Powder Snow,Ice,Special,40,100,25,May freeze opponent.
Present,Normal,Physical,null,90,15,Either deals damage or heals.
Protect,Normal,Status,null,null,10,"Protects the user, but may fail if used consecutively."
Psych Up,Normal,Status,null,null,10,Copies the opponent's stat changes.
Pursuit,Dark,Physical,40,100,20,Double power if the opponent is switching out.
Rain Dance,Water,Status,null,null,5,Makes it rain for 5 turns.
Rapid Spin,Normal,Physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Return,Normal,Physical,null,100,20,Power increases with higher Friendship.
Reversal,Fighting,Physical,null,100,15,"The lower the user's HP, the higher the power."
Rock Smash,Fighting,Physical,40,100,15,May lower opponent's Defense.
Rollout,Rock,Physical,30,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,Physical,100,95,5,May burn opponent.
Safeguard,Normal,Status,null,null,25,The user's party is protected from status conditions.
Sandstorm,Rock,Status,null,null,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,Status,null,100,10,Sharply lowers opponent's Speed.
Shadow Ball,Ghost,Special,80,100,15,May lower opponent's Special Defense.
Sketch,Normal,Status,null,null,1,Permanently copies the opponent's last move.
Sleep Talk,Normal,Status,null,null,10,User performs one of its own moves while sleeping.
Sludge Bomb,Poison,Special,90,100,10,May poison opponent.
Snore,Normal,Special,50,100,15,Can only be used if asleep. May cause flinching.
Spark,Electric,Physical,65,100,20,May paralyze opponent.
Spider Web,Bug,Status,null,null,10,Opponent cannot escape/switch.
Spikes,Ground,Status,null,null,20,Damages opponents switching into battle.
Spite,Ghost,Status,null,100,10,The opponent's last move loses 2-5 PP.
Steel Wing,Steel,Physical,70,90,25,May raise user's Defense.
Sunny Day,Fire,Status,null,null,5,Makes it sunny for 5 turns.
Swagger,Normal,Status,null,85,15,"Confuses opponent, but sharply raises its Attack."
Sweet Kiss,Fairy,Status,null,75,10,Confuses opponent.
Sweet Scent,Normal,Status,null,100,20,Lowers opponent's Evasiveness.
Synthesis,Grass,Status,null,null,5,User recovers HP. Amount varies with the weather.
Thief,Dark,Physical,60,100,25,Also steals opponent's held item.
Triple Kick,Fighting,Physical,10,90,10,Hits thrice in one turn at increasing power.
Twister,Dragon,Special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.
Vital Throw,Fighting,Physical,70,null,10,"User attacks last, but ignores Accuracy and Evasiveness."
Whirlpool,Water,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Zap Cannon,Electric,Special,120,50,5,Paralyzes opponent.
